,review
468,Do not even go near this company. Just read all the other reviews to find out why. Got a defective product and I'm now down £600.
469,"I should have checked here before ordering laptop. Had a nighmtare with delivery (see parcel force reviews) . When I told HP about why and how I still haven't had laptop they didn't care. 1st rep disconnected. 2nd said ok what do you want to do, when I said cancel and they can get there delivery returned , they were ok , goodbye. I just claimed back through credit card for refund, can't be bothered with hp."
470,"Well, this is officially the last time I buy an HP. They've never been particularly fast, I've always had issues with them just having the slowest days, but today was the final straw when I couldn't connect my computer to the wifi, and called the wifi company first. They confirmed it was an issue with my laptop, and so I called the costumer support number they provided from hp. Yo. They says I would have to pay almost fifty bucks just to talk to a tech support person. What the hell?! Seriously so screwed up. Screw HP."
471,"Sent wrong ink for printer and refused to send correctorder after one month. How does this company survivewhen it does not bother, please use any one but HPRon"
472,"I'm absolutely beside myself. I'm at the point I hope an astroid hits the earth. There is no fixing all this garbage, we have to start over. Did in bread finally catch up with america?? Why does hp need access to all my pictures to connect to the printer. I can't believe people don't check this stuff. Zero reason why they need access to that other then are the worst humanity has to offer. On top of having zero instructions. There was no installation explanation just troubleshooting!! This planet makes me afraid to go outside, try anything new. The dumbest and worst people imaginable are now in charge of everything. Don't let anyone you know but anything HP aka huge pile"
473,I received a laptop that does not work properly. They charge me restocking fee $70this is horrible. will never order from them again
474,"Their WhatsApp service platform is horrible, they would only reply hours later, sometimes even a full day. Horrible service"
475,"I bought a brand new HP printer from Amazon 2 months ago. All of sudden it started to make an awful grinding noise. HP said send it back for a new one. I had to pay one dollar through a web portal. I couldn’t load it on any of my devices. They wouldn’t take credit card information over the phone. That was one strike. They said they wouldn’t issue a replacement until they got the damaged one back. They would mail me a box and shipping label. I tried numerous times to get the status of these items, could not get through. Final someone who barely spoke English told me to wait 48 hours and it should ship. It’s going to take me almost a month or more to get a new printer because they won’t ship the new one till they get the old one back. The only time you get someone who speaks English is when you call sales. I’m not going to by HP in the future."
476,I had problem with My G8 Notebook and asked for Return. After 14 days of Return I still haven't received any Email regarding my Reimbursement.Very Lasy and Uncomfortable.
477,Their printers require you to use their ink and need to be online& connected to hp smart. Mine won;t work offline. Won't buy an HP next.
478,"If I could give 0, I would. Bought a £450 laptop in 2020 and it's been nothing but trouble. I've now gone back to using my £200 11 year old Toshiba which performs much better despite having less ram. The processors HP mostly use (anything worse than I7) are awful and couldn't power a game of snake. Why a £450 laptop in 2020 didn't come with at least an I5 is beyond me. You need at least an I5 and 8gb ram just to run all the HP bloatware that comes pre-installed and drains the CPU. So sick of wiping and reinstalling windows. A company as big as HP with a TP rating of 1/5 is outrageous but also somehow exaggerating the quality of their products - use any other brand but HP!"
479,"Happy with new laptop, it has changed quite a bit from previously so was a little confusing"
480,I am on the 4th round of telephone calls to their customer support who have told me they will take a certain action and then not bothered. The last time on Friday when I asked to speak to management i was promised I would receive a phone call between 1 and 2 and of course they didn't call I even said to the person taking the call 'I know no one is going to call me' and he said 'I can assure you they will!!' Its SO frustrating!!!! My laptop is under a year old and has not worked properly for about 4 months. I can see why there are so many awful reviews. Totally unacceptable customer service. Its a total joke! Sort it out HP
481,"Absolutely diabolical customer service.I bought a HP laptop from their website at the beginning of August. It wasn't right for me and the fan was too noisy so I initiated a return within 14 days through the website. I was told HP would be reaching out with further information and was allowed to pick a return date for Parcelforce to come and collect the laptop. That date came and went, no collection. I decided to sit tight as was told HP would contact me about the return and had yet to hear anything, despite having booked the collection date that had now passed.A week later, I get a text from Parcelforce saying they will collect my package the next day. I am not even in the country at this point. I had stupidly assumed they would give me the option to choose another date after not collecting on my 1st preference. There's no contact details for Parcelforce in the text and I still haven't heard from HP. That date passes, no text to advise of the collection attempt after that and still no contact from HP. When I return from holiday I go back in to my account and it doesn't even mention I've initiated a return. When I tried to initiate another return, it told me I couldn't return it anymore. Live chat didn't worm, neither did WhatsApp, so I ended up spending half an hour on the phone to get through to three different departments and am finally told by a nice bloke called Dave that he will email me a return postage label for me to send it back myself.I breathe a sigh of relief at this point. But no, no returns postage label is emailed to me, instead an automated email in about seven different languages comes through with a link to their returns policy page. Which is of absolutely no use to me, hence why I called them!Needless to say I have emailed a complaint to their post sales inbox, raised three cases through their website and I have still yet to actually be contacted by anyone.I am beyond disgusted with this customer service and will be doing some research to see if HP are covered under consumer duty and are regulated by anyone I can chat to.The fact you have to login to their website to even attain their contact details is somewhat suspicious. Really, really disappointed and worn out by this whole experience. I will never buy through them again."
482,Brought a printer and my god the instructions are in every language but English the little that is in English won't help you do more than turn it on.I watched YouTube videos and It Just won't connect to my device even following the YouTube video.There customer services are only open Mon- Friday 9-5 extremely unhelpful  ready to send this crap back Can't log in for online support as it's asking for serial number to access it and it doesn't recognise it ...they really don't want to help people do they
483,If it was possible to leave a lower number I would.  The warranty process for a printer is ridiculous.  Agents that know nothing leading you through steps that prove nothing.  No logic to any of it.  Just wasting your time while they manage three of four chats at a time.  Wasting your time.  No results.  hoping you just go away.
484,"I bought a docking station that #1 didn't have an HDMI port.  Which is pathetic in of itself; so I went ahead and bought a WGA chord to connect my station to my monitor.. the loading dock doesn't project my laptop onto my monitor.. I double checked and confirmed the docking station is compatible with my laptop.  I tried calling tech support; the automatic answering service voice recognition is terrible.  there is no control put in place to speak to a representative so you have to sit through the automated service go through everything.. then when I actually spoke to someone, I got  transferred to 3 different people, having to re-provide my serial number, reason for calling each time.. then they finally said oh we can probably help but you'd have to pay for the service.. HP as a company is borderline pathetic to begin with, I only had to buy this because this was for a work laptop.. but the pathetic customer service they have brought it to a new low.. essentially give you a fault product, then you have to pay them to fix it.. this should be illegal."
485,"The greediest, grabbiest, most disgusting & useless company out there. All they want is for you to sign up to their online ink subscription - which is more expensive than anywhere else on the internet. Crooks."
486,They dont stand behind product. Do yourself a favor never buy a thing from them. It doesnt get much worse
487,"I'm disappointed to be writing this feedback as the product (brand-new PC) and many aspects of the loaded software look good. However, the technical support (via WhatsApp) - was very, very slow. To make things worse, I was left 'hanging' for 40 mins mid-chat. I followed up by using the phone support - two attempts. Both involved a complete wipe and re-load of the system. In a third attempt - the tech support guy seemed to have no record of what had already been done. He concluded that I should seek replacement / refund and gave me another number to call. That number - 'in a queue' for 40+ mins - then gave up. Tried again - next day - more than 1 hour. During that wait - I read Trustpilot reviews - and changed my mind from replacement - to refund. That's what I have done. We'll see what happens. The PC is to be collected in about a week. Such a pity hp!! You need to spend some money on your after-sales support....."
488,Read the other reviews - HP sucks! I hate them and it’s such a pain to contact a HUMAN!
489,"I honestly don't know where to start. If youre thinking of buying something from HP, DONT! I brought a £3000+ pc from HP in January and have had issues with it for the last four months at this point. I contacted them two months into me having the issue, the first month of my time was wasted trying to make sense of what the Whatsapp team were trying to say and what to do, they very clearly have no idea what their job is and are just following some sort of help sheet to tell people what to do. I spent a month going back a forth with HP Support on WhatsApp because they clearly were incapable of contacting DPD to come and collect my faulty device. So after begging for a further two days I was finally able to cancel the repair order because it was not worth the effort I was putting in because they simply did not care! I then contacted hp over the phone for support and finally got somewhere after being ignored 3 times and them failing to call me back another 4 times but I finally was able to make another repair order with them because the finally believed that the pc had to be seen by someone (which I had told them from the start). Now I am at the point where HP are incapable of sending out the right size box for the pc, they have now 3 times sent out the same box that is half the size of the pc it's self I have offered to read them the dimensions from their own website if they need to know how big the pc is but 3 times now DPD had arrived with the same flimsy plastic box first time we told them it was too small the second time they brought a unprotected plastic box then the third time they brought the same box back with padding it in, which again was half of the size of the pc. Somebody needs to take over their support team and hire people who know what they're doing and can actually help you because at this point in time you'd get more help from asking a bunch of toddlers what the issue with your faulty product from them is. Oh and if you ask to speak to someone higher up you are given the support teams phone number so yeah not too sure what I'm supposed to do with that, at this point its been 3 almost 4 months of my time wasted and I am seriously thinking about taking legal action!!!"
490,"I bought a laptop and had to return it. 2 weeks later, I have no refund and HP customer support is the worst I've ever encountered - terrible waits on phone, no response to emails, stuck in endless loops on website tryi g to get help. Really disappointed."
491,Absolutly rubbish - They took the laptop away to be repaird - twice - it came back with a dameded corner and thety said that this was misuse by the user. They then went on to offer another repair for the damage at my expence. For service 0 for grasp of English 0. For grasping of money from the customer 100.
492,"Purchased a reverb g2 headset which i must say is very good. That's it the one positive.I'm one of many g2 owners who have to go through the terrible customer support nightmare to have a replacement cable sent out only to find the replacement also fails. Now i'm out of warranty, HP don't have any replacement cables in stock (so far 4 months) and it appears i may, also have, an expensive paperweight. At least i had just over a year out of it.Really cannot understand how such bad customer service is allowed to be acceptable!"
493,Support are useless - hang up and dont call back
494,"I have had endless problems with my HP printer. Print head broke on day 3 and printer was replaced under warrantee. Then the blue print head broke just out of warranty. I had set up instant ink but when I cancelled because I didn't want tp pay for colour cartridges I couldnt use, the printer wouldn't work at all. I had to replace all cartridges just to be able to print in black. Now it looks like the black print head has gone too. Long winded way of speaking to customer services and they never deal with the problem. I would absolutely warn everyone away from buying such rubbish. Not environmentally friendly at all due to the fact they blame everything on cartridges and keep sending new ones which don't work. Waste of large amount of money."
495,"Pure robbery. I never buy an HP printer again if I fill up my catridge with ink, the printer is erroring, I cannot use any other catridge than HP catridges, it is not eco friendly, the worse printers ever"
496,"They have no support. They just want to hook you into an ink service and manipulate you financially that way. They show a 4.6 rating on google, but you can’t leave a google review which makes both Google look like they are in bed with HP and like HP has clout to fake their ratings!"
497,"HP is the worst company I ever dealt with. Uk call the UK helpline then you're transferred somewhere in USA Canada you have to give details about 3 advisors then they say we only deal with USA customers. Dont ever by HP envy 6000 these always go offline, and can't do a simple job of printing although connected by USB. I will never buy HP printers again."
498,"The one star average rating speaks for itself (is the worst I've seen for a company on truspilot, actually). In short, I bought a malfunctioning product, then got fobbed off by tech support, then my one star review on HP.com got deleted because it ""didn't meet review standards""; which presumably requires the review to be positive :-) Complete and utter joke of a company!"
499,"I thought this was a High Profile company. However they are no better than a cowboy builder. Ordered laptop that was sold as in stock with next day delivery. I received emails from HP sales but could not track order. Message came up Access Denied. The HP contact number supplied by PayPal invoice was an unobtainable phone number. The next day email links worked order being packed and awaiting stock. I phoned HP sales line to check order, I was quoted it was being built. I cancelled order, 4 hours later I got email that it had been dispatched. PayPal refunded me but I've had massive issues trying to return item or even being able to get a bit of discount to keep it"
500,If I could give this company a review lower than one I most definitely would my computer is trash it doesn’t save any files and runs slow every Hp laptop I have gotten is a piece of you know what . They are cheaply made for a ridiculous price most definitely taking my business to another company
501,"I have been trying to return a printer for two weeks.  Never, ever had such poor service.  I have phoned endlessly only to hear the same message telling me that I am in a queue.  Emailed; no Reply. Just been told by sales team that a 3 hour wait for answer is the norm.  Awful!!!!"
502,"Terrible experience, no one was willing to help me solve the problem and I was actually disconnected from an online chat mid conversation as the agent was clearly unwilling to help answer any more of my questions."
503,"My HP computer failed while I was in work, I tried to contact them (which was difficult), I then got through to Gurpreet who gave me advice I couldn't administer to the computer because it was broken"
504,"I won't bore you with all of the nitty, gritty details but in summary, a large All-In-One computer that is still under warranty developed a hardware issue. HP's solution is to collect the computer and to return it in 10-15 days!!!!!!After working in the computer industry for 30+ years I know for sure that the solution to the hardware issue I have is to exchange out a Wi-Fi card which will take no more than 30 mins. So, my question is why is it going to take 10-15 days? I assume the answer must be one of:1) The PC will be collected and returned using a horse and cart which will need frequent rests on its epic journey to the repair centre, or2) Repairs are carried out somewhere like Outer Mongolia, hence the transport time, or3) My PC will be sat in some warehouse somewhere for 14 days doing nothing waiting for someone to carry out the 30 min repair.I have used multiple HP products in both business and at home for decades but they have had their very last money from me, EVER!What a complete joke a once great company has turned into."
505,I have a HP Envy 5530 printer that was printing badly so I have just installed a new HP301black print cartridge.  My printer then displayed the message Older cartridge cartridge(s) for older generation of printer.  I have checked the cartridge against the 1 removed and it is the same. Apparently HP update the firmware periodically so you cannot use none HP ink cartridges but I have always used HP cartridges and am really annoyed as I purchased several new ones about a year ago that I can no longer use. This is totally unfair and I will not be buying a new HP printer again.
506,"They are just pathetic honestly.Trying to purchase a 2000.00 plus printer and cannot complete online purchase as their website freezes. Waisted a full day on this. Was told by service department to call, only to end up with a telephone service that says no sells personal can take any orders. Then for icing on the cake I get an email confirming they have all my items in basket ready to be purchased and that I can complete the online purchase and when I click the link it says basket is empty. What a joke as a company, I assure you Packards did not build his company on such sub standards as this.They should be for sale"
507,"Unhappy with HP Pavilion 15-cs3970nd, you cant control the external mouse when charging the laptop or when a usb is plugged in. Also battery power has dropped massively after 1 year of use."
508,I have never experienced such repeated rudeness from customer services and lack of assistance.  I cannot get my issue resolved by anyone and have spent over five hours trying to contact HP in the last three weeks.  It seems they are deliberately obnoxious and unwilling to assist customers.
509,"After weeks of going backwards & forwards, I was told that the cost for fixing a broken screen would be the same price as I had paid for the computer 10 months ago.  I was then offered a 20% cashback (10% in writing but definitely 20% verbally) as a goodwill gesture because of the hassle I had gone through.  Two weeks later I purchase the new computer and suddenly HP policy has changed and they won't honour their offer of any cashback.  Don't expect any promised call-backs and don't believe a word they say.  Will never buy from them again."
510,We had an old printer (Epson) and thought it would be brilliant if we had one with all the bells and whistles. So we got HP all in one with 6 months free ink.. big mistake. Before the 6 months is up we got a call saying we need to set up a payment system to pay for the ink. NO!!! It's free ink for 6 months and then we can buy our own. It will not work now and can't print anything. We even got the ink from the shop and still nothing. It's a waist of money and just sits there now gathering dust. Never buy into this product because you will regret it. We are looking at a new Epson now and should have done this in the first place.
511,I bought an HP Pavilion in late July which included Microsoft Office Family.  I was shocked when I found out it was not installed on the computer and HP wants to charge me another $49 to get the product key.  They call it tech support.The computer is okay but HP cannot rob me just like that.  I need the product key.
512,"For 2 years now, since Black Friday 2019, i have a HP Pavilion Gaming 15-EC0000NV, and oh boy, that laptop is a literal nightmare.First off, they cheaped out on producing good hinges, and instead gave us crappy hinges that wobble since purchase date. And what do you know, the left hinge gave up on December 2021, which made the laptop nearly impossible to open and posed a risk of breaking the screen. Speaking of the screen, i tried repairing the issue by replacing the display's back, but HP had it stuck in place making it very difficult to remove. Not to mention that the tabs blended with the laptop's plastic colour and i didn't even see them, making me use iso alc, which ruined the layers of the screen, forcing me to buy a new one. Unfortunately, the tape which held the screen  to the back casing was non-existent, so i had to put the screen inside the laptop and now the bezels are the ones holding it in place. Like, who thought it was a good idea to replicate the same garbage Samsung does with their battery adhesive? They could have EASILY used the screw method, but instead they did the adhesive method. How dumb!And do you know what else's dumb? HP's Bang and Olufsen audio enhancements.  They were on by default and all they did is ruin and oversaturate the audio, and because of this, i have them off since purchase date. The equaliser sucks too. It's just the standard trashy Realtek equaliser but with a diffrent skin, and it does nothing to the audio!But what makes me angry is the fact that those black plastic things around the Ryzen 5 3550H CPU made it go always at 93 degress at full load due to uneven trash, and the result was far worse when the GTX 1050 inside it was in Action. The CPU kept thermal throttling at full load due to this problem, and do you know what i had to do to fix this such issue?I had to take apart the laptop, clean out the old paste, remove the pathetic plastic thingies, and replace them with thin tape to insulate the components around the CPU and GPU dies, which dropped the temps of the CPU down to 84 degrees, and when in game when the GTX 1050 was in action, it gave me 93 degress on the CPU when it was completely stressed.Speaking of cooling, the cooling on it isn't proper. It's using fans which are probably recycled from non-gaming HPs, and they used a 2 thick heatpipe soloution sharing heat from the CPU and GPU and called it a day. It would have been better if the cooling was seperate.And oh boy, the audio jack on it has broken on April 2021. The audio jack was so soft that it kept disconnecting with the tiniest bit of force, and now to listen with headphones on, i have to use a DAC via USB-C or USB-A or use the cursed Bluetooth tech which has latency issues.Speaking of wireless technologies, the Realtek RTL8822CE inside the laptop was the worst offender of all. The settings on it were confusing, it would keep kicking my wireless earbuds off, and it didn't work with the 5GHz acsess point from my phone. No suprise here as Realtek WiFi sucks for dear eternity.I replaced the trash wifi on it with a better Intel Dual Band wifi adaptor which supported the 5 GHz band on my phone and fixed all Bluetooth issues. Do not buy HP unless you have experience in repairs, as their Tech Support accoding to others is like trying to talk to a Gacha kid on Discord who takes attention seeking too far and would make you throw your phone onto the wall. And while mine is quite questionable in terms of build quality and cooling soloution, the keyboard has nice key travel and the touchpad is good, the screen had OK colors minus the bad viewing angles, a reason why IPS is far more superior (it has an IPS display rn) and the motherboard doesn't have defects that would impact its functionality, minus the trashy headphone jack. Still, that doesn't mean you should really trust HP nowdays. Do your own research before buying a laptop.HP needs to improve their quality control and their products and build them again like tanks like how they did before 2017."
513,"The worst customer service I've ever experienced. It seems like they turn their live chat service on whenever they feel like it. Customer advisers behave like bots and respond to every question with a scripted answer. The phone lines are also absolutely garbage, I was on hold for over 50 minutes every time I called and nobody ever answered. Its took me almost a month to return a laptop to this incompetent and useless company. For a company of this size, the customer service is literally no-existent, avoid them like the plague"
514,Can I have zero star? Very very poor service. I am waiting more then 7 days but problem not solved.
515,"I would give 0 if I can. Called them two days in a row about my refund (brand new laptop overheat and has audio issues that no one can solve). First day: no one responds after a 40-minute wait. Second day: no one responds after 1-hour wait. Called the sales team regarding this instead of the post-sales team. They picked up instantly. They were rude with the 'not my problem attitude'. Not only that, they said that the post-sales service exists because 'they can see them right there'. I told them it takes an hour for them (the post-sales team) to pick up. The response was 'some people wait for 3-4 hours. This is what HP's service provides.' Apparently, they don't really care. I will be taking my business elsewhere."
516,"Very crap service from this brand. Got 9 months free instant ink with the printer, no instructions on how to claim. Waste of time and money."
517,"Never again will I buy a HP laptop due to the inconsistency of their wifi cards, I recently bought a new HP laptop and wifi speed is never constant and constantly fluctuates. I have a 7 year old Macbook Pro that can knock spots off the new HP laptop for wifi speeds."
518,"Bought a laptop in September 2021. In January the screen started to pixilate. As a minister I had bought it for church use. Specifically for PowerPoint for Sunday services and YouTube videos of services. In returning it to HP they told me that the damage to the screen was caused by me, which I strongly dispute. HP wanted 70% of what I'd paid for the laptop to repair it. They failed to communicate any further with me. They weren't interested in my side of the story. Their customer service is shocking. Their attitude was shocking. I will never ever purchase another item from HP."
519,I have a support package which I paid for. I organised collection. A sealed box arrived with no instructions. I asked hp support what do I do now with the box- how do I organise collection. They just said someone will be round. They never were. No emails absolutely no contact. Despite my efforts to get laptop collected absolutely noone at support was capable of organising it or helping me. Laptop remains broken. The support package was a total waste of money. Even though its still apparently active. Absolute joke.I also add that I wasted days of my life waiting for them to take me off hold on the phone or respond in their Web chat. I've never seen such an awful after care service. AVOID at all costs
520,"Absolutely shocking customer service, the worst I have had in many, many years from a large company. Avoid buying anything from them as if there is a problem it is impossible to get through to anyone. As someone else said, when you call the UK customer service number you are just left waiting with a recorded message that says ""your estimated wait time is 10 minutes"" then a minute later a different recording says ""7 minutes"" ten seconds later ""5 minutes"" and then 10 seconds later ""2 minutes"". The recording then starts all over again. I waited 40 minutes and just gave up. I have sent two emails to customer services in the last two weeks and received no reply. The order number I was given doesn't work on the tracking service, oh and the online chat service doesn't work. The whole thing is an absolute joke. I was told my monitor would take 2 days to arrive, its been two weeks and I have no idea when and if it will arrive. AVOID ORDERING FROM HP AT ALL COSTS."
521,"BEWARE OF HP TELEPHONE BAIT AND SWITCH SCAM!!!I called in to order a laptop on 8/26/2022. The representative who took my order worked out pricing with me to include the laptop, multiport hub, and a 3-year Care Pack. The price was very good, and I was pleased. I asked the man to reconfirm the order, and specifically that the Care Pack was included. He assured me it was. He told me it would show up in the order confirmation email.I received the email... no Care Pack was included, so I called back in. The next guy tried to sell me lots of things, including the Care Pack that was supposed to have been part of my order. He told me it wasn't part of my order but he could add it for $200. After explaining what happened multiple times, and a few attempts by him to sell me software, printers and ink refill packages, I asked him to escalate to a manager. He agreed, and dumped my call into a hold queue. After 40 minutes of lousy hold music, and a parallel-but-futile attempt  to work through the Chat feature, I was connected to a different frontline sales person who knew nothing of the order! This woman again tried to sell me the Care Pack I had previously  purchased, but agreed to connect me to her manager. I asked her to stay on the line while she transferred my call, she said she would... BUT she quickly dumps my call into a technical support queue and disappears.Meanwhile, the Chat person is trying to sell me the entire order all over at a much higher price. By now, I'm curious just how horribly HP would treat me before this sad experience ended. So I hung in there on both Chat and the phone.The Chat person finally suggests that a manager should review the call to see if the sales person did what I claim he did. I agreed with this, but then she tells me she'll get back with me in 24-48 hours! They took my money quick enough, but now it's going to take 2 days to figure out what the guy committed to selling me??? I think not.In the meantime, my phone call is still in the technical support queue with bad music and an intermittent message informing me of ""longer than usual wait times""...After well over an hour of this hellish run-around, I finally gave up and canceled the order.I have purchased HP computers exclusively for many years, and that loyalty would have continued. However, after the unscrupulous business practices I've experienced in this process, along with the difficulty in getting them to honor the Support Agreement on a previous computer, I doubt I will buy another product from HP. If they treat me this way at the point of sale, how can I believe they'll stand by their commitments later on? Beside, I found a superior machine for much lower cost, and that company was honest and straightforward through the entire buying experience."
522,"Bought an Envy Printer in July 2021 and signed up for the Instant Ink programme.  12 months later,still using the original cartridges. Now according to HP using WIFI they can monitor how much ink and how many pages you have printed off. Yet they still charge you monthly for ink you don't obviously need. They even suggested changing my plan to their lowest one of £0.99 per month.  I exceeded the printing plan and they charged me £4 for using my own ink, paper and electricity! Now I've left the scheme, which means I've been charged 12 months worth of black and colour ink cartridges which they'll now sell on to some other sucker instead of forwarding them on to me after I paid for them !! Absolute ripoff and I'm sure highly illegal if not morally wrong."
523,Returned an item and HP claim i returned a different item?They have my laptop and my £2000!!! dont even bother.
524,"I bought Chromebook directly from HP UK with extended 3 years warranty. Software stopped working after 9 months, when contacted HP support, spend over 1 hr on the phone to try to prove that Chromebook does not work.  HP agreed to take for repair, send Chromebook to HP for repair, no communication received about repair, until I chased to be told that HP won't fulfil warranty. Logged complaint, again no communication even so been promised twice that will be contacted. Terrible customer service, no respect for customers, never buying from HP again. Terrible experience."
525,Never had worst customer service experience for any device or appliance. Paid two years for extended warranty but they determined it was accidental damage after being shipped to service center. They are not releasing the unrepaired laptop with display issues after two weeks and barely any communications. Have no clue why they don't repair or ship back without repairing. Only paid around $550 for the laptop on black Friday but they determined the repair would be $497 to repair a display monitor. A total mess and now as much as I love HP products have deep doubts about HP's good effort to service their customer's products under warranty.
526,"These pirates tried to charge me $99.00 just to ASK ONE SIMPLE QUESION!!!! Do they think I'm some kind of idiot to pay a big fat Benjamin just to ask if my system memory can be increased on my HP computer??? I'll never buy an HP product again!  Never, ever!!! I don't do business with shysters. I cannot believe you have the kahunas to do that! You clowns should go out of business for ""customer service"" like this!!! My apologies to TrustPilot for the emotion in this review but its hard not to express some anger for the absolute horrific product support that HP tried to swindle me with. Just pitiful."
527,"They fool you to buy from them through cashback websites like topcashback, so they look competitive compared to other manufacturers, the don't pay up, been chasing the cash back for over a year and nothing. This sort of behaviour should be criminal as they're using false advertising to gain customers, shame on authorities not looking at what these giants are doing!"
528,"I have tried several times to speak to Sales and twice booked appointments, but on the appointed times when the link was opened, no-one came on the line. When I tried to ring them I was ""in a queue"" for so long that I gave up in the end. I  wanted to buy a laptop from them and just needed to ask a couple of simple questions first, but now having second thoughts if this is a good idea!"
529,"App works fine, but customer support is absolutely horrendous. You're put on hold, you're transferred to several departments. They sent us a cable from Germany, didn't work, they took control of my laptop to troubleshoot the problem. At least 5 different ""technicians"" have all tried the exact same techniques to troubleshoot. Every ""department"" is the exact same obviously, since they all try the exact same techniques, then say it's a specific problem for a different ""department"". 7 hours total of troubleshooting, and we are back on hold again, all we need is the defective printer they sold to us, replaced. Never buying an HP product again."
530,Don’t get a Hp computer if you want trouble free life costomer service is a joke ordered a new laptop early August and the charger that came with the laptop didn’t work so got on to customer service/tech support to get a replacement charger explained it was a usb type c and not a round pin end on the charger yes ok will send one out to you and what arrived yes a charger with a round pin so got back in touch with them and explained that they sent the wrong charger thay apologised and said they would send the right charger out but guess what they sent me the wrong charger again so don’t make the same mistake as I did buy a different make and have a trouble free life
531,"Bought an HP 13.3"" Envy x-360 convertible laptop on September 2021 which I paid for with PayPal. After 10 months of use the battery is not holding charge for as many hours as it used to do. Now after a full charge it holds charge for no more than a couple of hours. On August 22, 2022 I started a chat with an HP.com customer service technical support expert. After I explained the battery issue to the technician, roshni koyippurathu, and I gave him/her all the information requested from me - and after a 45 minutes chat, he/she said he/she was going to start a test over the internet and that it could take some 20 more minutes but perhaps even longer. I said ""you have got to be kidding me"". I clearly felt he/she was giving me the run-around, so I asked him/her to give me the name and phone number of his/her supervisor. He/she never did. He/she indicated he/she was going to arrange for a supervisor to give me a call. They never did. I am quite frustrated and disappointed at HP.com. They never gave me a solution to my battery issue; on the contrary, they just tried to get me tired so I would just hang up. - HP, NEVER AGAIN will I buy from you guys ever."
532,"I have an HP inkjet printer with the subscription service for ink. I needed new ink (though the agreement is they'll send you more before you run out). The website is totally frustrating--there's no easy way to just order the next cartridge. The automated chat is useless and the phone system is a long and frustrating series of repeated messages before at long last you get connected to someone in India. I have no complaints about the Indian man who finally answered--but I don't want to deal with the HP ""customer service"" system again."
533,"I am a creative and will NEVER EVER order from HP again!! The absolute worst customer service! I ordered a monitor and wanted to return it as I was not happy with the product. It took me over two weeks for an email reply to return the item. I have sent several complaints and nobody got back to me!!! After calling the customer service line it keeps on saying my waiting time was 10min, then 7, 5, and 2. But I've been waiting for over 30min now and nothing is happening! This is absolutely shocking considering it is such a big company."
534,"If there is anything lesser than a one star, this is what HP deserves. I bought a HP envy laptop for £1000 that I mainly use at the weekends. On my 2nd time on a conference call, the microphone stopped working exactly 1 month of purchasing the laptop. I didn't loose sleep because you don't spend £1000 on a laptop and expect it to have issues. The 2nd time the issue occurred was on the 14th August then I knew there was an issue. I raised it with Tech team and they couldn't resolve it and wanted the laptop repaired. At this point I requested an exchange given the issue occurred with a low frequency. I got referred to post sale and post sale redirected me to technical team without listening or any empathy. I waited 32mins for my call to get picked up only to be shoved over to technical team and to date I still have not had a response to my emails. All they were after is getting onto the next call. I am highly disappointed with HP customer service. I still have not had my issue resolved and HP has my hard earned money."
535,"I bought an HP all in one, as I needed a new pc, worst choice ever, it is so slow it's unbelievable. I had a job connecting to my Epson printer which was easy to use with my old Dell. Me being a complete idiot bought an HP printer, the whole package is completely unworkable and utter crap. One star is too many."
536,I agree with most of the other customers. The customer service experience is horrible. The reps are constantly looking for money and barely doing anything to help. Don't think your crazy dealing with the reps. The service sucks and hp should should be ashamed.
537,"After first review, it's painful to install but manageable. Still after installing the latest driver (required for Windows), you basically need to delete and reinstall the printer which was a pain"
538,"1star is also too much, highly disappointed with service . No show even after sheduling a service date. Engineer says he will visit but never came. Don’t ever think of buying an Hp printer or any product."
539,Bought a Printer with promise of 6 months free Ink only to find I have to sign up for a monthly plan.  Contacted them on whats aqpp and half way through the assistant stop responding to me.  WORST CUSTOEMR SERVICE EVER. Taking the printer back as it won't print anyway and buying a canon or an epsom.
540,Worst customer service cant talk to anyone
541,Worst customer service experience ever.I would definitely choose zero stars if possible. My experience with HP customer service has to be the worse I’ve ever had. I purchased an Omen desktop it arrived damaged and could not be used. It took HP 16 days to replace it without as much as a sorry. I stayed in 2 days one incorrect day for collection and the same for the replacement. Still no apology it took several Emails to get a response and a offer of a £50 voucher which could only be used on there website. I was told we will send an e-voucher ASAP which never happened. In between sending more email to secure my £50. The headphone jack and a usb port became faulty. To which i informed HP about there response was for me to contact technical. No offer to repair the desktop. At this point i informed HP that they needed to review there offer within  7 working days. I never received a response now hence my review. I would never recommenced HP very poor or non existence customer service. They take weeks to answer your Email or pass them to another department. They will only accept a complaint via Email you cannot talk to management direct  substandard products no backup.
542,As you can see.  Everyone feels the same dreadful.  Hate the customer service.  Hate their subscription models.  Literally hate everything about this company.
543,"All you have to do is call customer service before you buy anything and your experience will be dissatisfied, all they wanna do is get your name and your number That is far as it will go"
544,"I bought a desktop worth Rs 115000/- Bluethooth doesnt work so i check with microsoft to make sure its not software issue. Formated my desktop upgraded all the drivers, used hp's stupid virtual support but nothing. Customer service is the worst even the tech support using remote desktop couldnot solve it . Since that time they are send the engineer to sort the things out ... its been more than a week ... is the engineer coming via bullock cart ot by a cruise ship or coming from a differnt continent..."
